fid;class;Landsat8_2024-07-23_1;Landsat8_2024-07-23_2;Landsat8_2024-07-23_3;Landsat8_2024-07-23_4;Landsat8_2024-07-23_5;Landsat8_2024-07-23_6;Landsat8_2024-07-23_7;NDVI;NDMI;NBR
196;0;7903;7900;8345;7940;17000;11804;9070;0.36327185244587007;0.18039161227607275;0.30418105101649406
197;0;7911;7905;8629;7966;20366;12205;8994;0.43766765494846815;0.2505603143901016;0.38732970027247954
198;0;8065;8038;8619;8075;19885;13136;9623;0.42238912732474965;0.20438508827715696;0.3477700962450861
199;0;7914;7919;8459;7962;18449;12016;9092;0.3970694029003067;0.2111603479402593;0.33974801205475474
200;0;7998;8014;8669;8077;19652;13002;9573;0.41743301236972125;0.20365039505114227;0.3448759623609923
201;0;7897;7906;8466;7925;19426;11943;9008;0.4204965083543563;0.23854761069846026;0.3663923471899838
202;0;8010;7995;8524;7997;19353;12591;9333;0.41521023765996345;0.21168294515401953;0.349299309767831
203;0;7871;7874;8335;7888;17544;11685;8936;0.37967914438502676;0.20045160628143283;0.32507552870090634
204;0;7875;7906;8518;8006;18323;12093;9130;0.3918492916555889;0.2048264071541294;0.33486322077732855
205;0;7998;7985;8466;7972;18737;12366;9306;0.40304766183683405;0.20483554641031412;0.33630496023963197
206;0;7952;7938;8504;7943;18545;11797;8981;0.4002567200241619;0.2223979961769165;0.3474533168640558
207;0;7733;7809;8277;7881;16688;11721;9049;0.35845984777565226;0.17483895948467035;0.2968100400202044
208;0;8018;8015;8603;8047;18480;12513;9329;0.3932973951068722;0.1925273448843287;0.3290661296702506
209;0;7998;8004;8426;8050;16879;12102;9264;0.3541658309599262;0.16483213139643216;0.29128256129747926
210;0;7735;7802;8542;7880;20000;12117;8943;0.4347202295552367;0.2454463368309618;0.3820267422174619
211;0;8010;8022;8643;8038;20229;13496;9741;0.4312802915059964;0.19964418087472202;0.34994994994994993
212;0;7950;7992;8657;8055;20646;12803;9370;0.43869551583568517;0.2344763670064875;0.37566631130063965
213;0;8029;8043;8595;8039;20021;12983;9503;0.4270135424091233;0.21324687916616167;0.3562525403061916
214;0;7892;7908;8596;8080;18130;12226;9203;0.38344143456695917;0.19449202793516931;0.32660154392126733
215;0;8017;8051;8622;8114;18570;13074;9645;0.3918453005546395;0.17368221463784603;0.31632110579479
